,,Train MAE,Test MAE,Train MSE,Test MSE,Train R²,Test R²,Train MAPE,Test MAPE,Train EVS,Test EVS,Train MedAE,Test MedAE
ARWU,Linear Regression,144.87305487939847,154.5687132184954,32157.34266812213,34799.13172768962,0.6154390764052304,0.5574690910548361,2.8241871247228456,1.8563428425553352,0.6154390764052304,0.5588673808823155,130.1553830102507,137.9372936442017
ARWU,Random Forest,28.372137499999997,98.4449,1879.1946373749995,21371.960460000002,0.9775272219218645,0.728218704928825,0.09329471851770305,0.2873951750810368,0.9775413555594838,0.7282519305328764,17.989999999999995,60.11500000000001
QS,Linear Regression,113.76425309717935,123.23362050813883,20234.95139127749,24813.033467025998,0.8686283047806902,0.8358812659103589,1.1596963750537983,3.334696178817968,0.8686283047806902,0.8359433414028345,97.11053045344383,105.96641923620092
QS,Random Forest,16.482249999999997,47.01795,728.50948375,6009.5645595,0.995270286346977,0.9602514489312328,0.04893229930168923,0.15320372506060445,0.9952785543907163,0.9603581007762719,7.814999999999976,26.159999999999997
THE,Linear Regression,244.96878137407276,251.53159837301425,112318.62127950466,107704.16351921405,0.35084172811963876,0.316232641898868,2.1479060108730383,5.079217351638167,0.35084172811963865,0.3184577319967987,172.74045485877764,210.14020690546351
THE,Random Forest,80.94369875000001,206.88402833333333,15689.763220066248,90850.60883211056,0.9093192254131702,0.4232286036748293,0.4807303511936539,1.5205032679303603,0.9093357899457483,0.4232347912415173,46.97,128.085
