,,Train MAE,Test MAE,Train MSE,Test MSE,Train R²,Test R²,Train MAPE,Test MAPE,Train EVS,Test EVS,Train MedAE,Test MedAE
ARWU,Linear Regression,137.77851310835607,153.53124081545434,29624.744381569137,36188.52464706901,0.645725731189577,0.5398005665552522,2.6301862468049553,1.7905726954785388,0.645725731189577,0.5399972481158067,120.1040447502948,131.28956136585842
ARWU,Random Forest,27.502974999999996,97.5496,1686.424583,20878.531913,0.9798325066251727,0.7344934989412761,0.08971578737355194,0.29531139800067474,0.9798348843409709,0.7353840099738451,17.0,63.0
QS,Linear Regression,232.40701781154297,244.2007520599552,93990.58052029439,98776.72101179515,0.38978346629877614,0.34666954640897174,1.4107655584583612,2.351481457759967,0.38978346629877614,0.3561119711705014,168.3309061101834,195.15565946328098
QS,Random Forest,70.5530125,188.53195,11231.361324374997,77003.38956550001,0.9270824550910579,0.490683038295356,0.32692382434229444,0.8015430962446081,0.9270979908021486,0.49328746811707846,43.065,104.0
THE,Linear Regression,102.28350671057503,107.53586714832805,18804.87769814753,23881.804936190005,0.8913150662785199,0.8483847036703268,1.0049361064925544,3.3442468819735627,0.8913150662785199,0.8497472627414624,78.04835701201122,74.95259989395805
THE,Random Forest,16.1286375,48.25165,804.8302383749999,11609.869168500001,0.9953483919162396,0.9262939397154425,0.034160352750941564,0.1541952135460973,0.9953520845143324,0.9274894807990013,7.400000000000006,19.154999999999973
