,,Train MAE,Test MAE,Train MSE,Test MSE,Train R²,Test R²,Train MAPE,Test MAPE,Train EVS,Test EVS,Train MedAE,Test MedAE
ARWU,Linear Regression,112.39692485070326,120.5692999166804,20777.157037472614,21904.355496795775,0.7515316242867084,0.721448384870418,2.7631853260480153,1.5557488694680524,0.7515316242867084,0.7222949972281596,97.43848645676226,106.79474934808445
ARWU,Random Forest,12.86115,39.577200000000005,352.488485,3104.303606,0.9957846859814541,0.9605234318156324,0.04731202681963687,0.12689227535142591,0.9957951920984481,0.9605258215707778,8.82,30.0
QS,Linear Regression,260.6654263369507,272.0711074099932,108606.03620957638,111948.18996321442,0.2948953119772715,0.25955062105546334,1.6822667879551816,2.91326756983167,0.2948953119772716,0.260912719143392,216.26623765578745,236.2644205776346
QS,Random Forest,89.8162625,243.70855,14487.897836875001,99975.50446249999,0.9059399915428075,0.3387405351238847,0.5188371998724929,2.2586580879916283,0.9059840396817258,0.33879641222844536,67.79499999999999,199.7
THE,Linear Regression,262.64311072037566,280.0820180980981,121775.74725462131,122251.69304580998,0.2961831907816109,0.22387664092102122,2.407112117398966,4.759132753922225,0.2961831907816109,0.2254799394467336,204.12061451083102,234.70158365681152
THE,Random Forest,92.94607499999998,236.7326,17112.79940075,108740.31878100001,0.9010946256330761,0.30965453829744527,0.4995563004452706,1.6299138669277164,0.9011212388609494,0.314220189543447,60.815,170.385
