students_to_staff_ratio_the,research_quality_the,employer_reputation_qs,teaching_the,international_research_network_qs,ns,faculty_student_qs,citations_per_faculty_qs,national_or_regional_rank,international_students_qs,pub_arwu,sustainability_qs,employment_outcomes_qs,industry_impact_the,size_qs,research_environment_the,international_students_the,pcp_arwu,hici_arwu,award_arwu,female_to_male_ratio_the,international_faculty_qs,academic_reputation_qs,alumni_arwu,international_outlook_the,student_population_the,rank_arwu,rank_qs,rank_the
34.800000000000000000,97.100000000000000000,8.900000000000000000,16.700000000000000000,33.9,2.5,5.100000000000000000,12.100000000000000000,27,41.7,20.300000000000000000,2.7,1.700000000000000000,25.000000000000000000,2,25.400000000000000000,0.2,19.700000000000000000,13.000000000000000000,0E-18,0.76,71,8.200000000000000000,0E-18,86.100000000000000000,23279.000000000000000000,650,825.0,413.000000000000000000
21.500000000000000000,62.400000000000000000,5.500000000000000000,19.100000000000000000,65.2,1.4,4.500000000000000000,2.200000000000000000,7,1.5,26.900000000000000000,3.1,4.300000000000000000,22.000000000000000000,3,9.400000000000000000,0.01,11.400000000000000000,0E-18,0E-18,0.53,1.5,6.900000000000000000,0E-18,48.100000000000000000,133134.000000000000000000,950,1300.0,1147.000000000000000000
4.200000000000000000,92.000000000000000000,31.600000000000000000,49.100000000000000000,98.2,36.3,99.800000000000000000,23.100000000000000000,1,15.6,66.400000000000000000,73.2,90.800000000000000000,90.400000000000000000,3,51.800000000000000000,0.14,36.100000000000000000,30.500000000000000000,20.600000000000000000,0.63,84.9,74.000000000000000000,18.700000000000000000,79.300000000000000000,30962.000000000000000000,32,107.0,97.000000000000000000
9.100000000000000000,70.900000000000000000,18.200000000000000000,45.100000000000000000,77.8,22.7,79.300000000000000000,19.400000000000000000,2,23.8,43.200000000000000000,34.2,94.600000000000000000,72.000000000000000000,2,37.200000000000000000,0.06,30.700000000000000000,13.000000000000000000,26.100000000000000000,0.57,53.2,32.800000000000000000,29.800000000000000000,45.600000000000000000,19205.000000000000000000,81,251.0,338.000000000000000000
16.600000000000000000,77.000000000000000000,8.900000000000000000,22.800000000000000000,80.1,4.3,11.600000000000000000,25.900000000000000000,47,36.2,21.400000000000000000,21.5,7.300000000000000000,65.000000000000000000,2,22.000000000000000000,0.18,17.500000000000000000,9.200000000000000000,0E-18,0.6,49.8,8.900000000000000000,0E-18,81.600000000000000000,15540.000000000000000000,750,561.0,526.000000000000000000
8.900000000000000000,73.400000000000000000,13.500000000000000000,46.800000000000000000,65.2,0.0,38.800000000000000000,99.500000000000000000,191,25.4,23.400000000000000000,16.9,32.400000000000000000,99.600000000000000000,2,47.700000000000000000,0.15,10.800000000000000000,6.500000000000000000,0E-18,0.5,24.8,17.200000000000000000,0E-18,57.300000000000000000,27081.000000000000000000,950,285.0,213.000000000000000000
8.700000000000000000,85.900000000000000000,1.500000000000000000,33.300000000000000000,49.3,2.0,12.800000000000000000,42.600000000000000000,36,37.4,17.000000000000000000,2.0,3.400000000000000000,46.100000000000000000,0,23.100000000000000000,0.16,18.400000000000000000,9.200000000000000000,0E-18,0.66,72.3,5.800000000000000000,0E-18,78.900000000000000000,4109.000000000000000000,850,645.0,379.000000000000000000
15.000000000000000000,60.000000000000000000,5.300000000000000000,23.900000000000000000,79.9,4.5,9.400000000000000000,18.000000000000000000,28,4.8,26.500000000000000000,39.8,3.800000000000000000,57.700000000000000000,2,19.800000000000000000,0.06,15.800000000000000000,0E-18,0E-18,0.51,2.1,8.900000000000000000,0E-18,49.000000000000000000,17545.000000000000000000,850,925.0,882.000000000000000000
15.900000000000000000,72.800000000000000000,12.300000000000000000,48.200000000000000000,71.3,2.0,10.300000000000000000,98.500000000000000000,168,4.9,32.500000000000000000,11.0,12.900000000000000000,98.800000000000000000,3,49.100000000000000000,0.05,11.100000000000000000,0E-18,0E-18,0.5,7.1,20.400000000000000000,0E-18,44.600000000000000000,48990.000000000000000000,850,355.0,221.000000000000000000
20.700000000000000000,84.700000000000000000,13.500000000000000000,34.300000000000000000,89.4,6.6,25.300000000000000000,59.400000000000000000,3,8.6,31.700000000000000000,68.6,21.700000000000000000,69.700000000000000000,1,38.900000000000000000,0.08,14.600000000000000000,9.200000000000000000,0E-18,0.55,65.3,15.100000000000000000,10.400000000000000000,63.600000000000000000,10857.000000000000000000,450,313.0,284.000000000000000000
14.600000000000000000,88.300000000000000000,43.200000000000000000,37.600000000000000000,92.3,18.8,36.100000000000000000,30.000000000000000000,16,67.7,39.200000000000000000,96.0,18.900000000000000000,70.200000000000000000,2,38.900000000000000000,0.27,22.000000000000000000,13.000000000000000000,15.000000000000000000,0.59,82.8,46.800000000000000000,0E-18,91.900000000000000000,28930.000000000000000000,175,154.0,204.000000000000000000
20.000000000000000000,33.100000000000000000,13.600000000000000000,31.300000000000000000,68.6,3.5,15.800000000000000000,3.200000000000000000,9,7.8,26.800000000000000000,1.4,2.100000000000000000,58.100000000000000000,2,15.100000000000000000,0.04,11.500000000000000000,0E-18,0E-18,0.54,1.3,10.000000000000000000,0E-18,26.300000000000000000,31178.000000000000000000,950,1100.0,1360.000000000000000000
19.300000000000000000,55.800000000000000000,2.400000000000000000,22.900000000000000000,39.5,5.9,9.700000000000000000,9.800000000000000000,172,5.1,20.600000000000000000,4.5,6.800000000000000000,38.000000000000000000,2,22.200000000000000000,0.05,13.900000000000000000,0E-18,0E-18,0.56,5.7,7.600000000000000000,9.000000000000000000,33.400000000000000000,19218.000000000000000000,850,1100.0,813.000000000000000000
29.000000000000000000,82.300000000000000000,23.700000000000000000,45.600000000000000000,75.7,15.8,94.700000000000000000,97.700000000000000000,6,5.1,54.400000000000000000,11.9,31.900000000000000000,80.700000000000000000,2,39.900000000000000000,0.09,22.400000000000000000,13.000000000000000000,0E-18,0.57,11.6,50.000000000000000000,0E-18,54.500000000000000000,48458.000000000000000000,250,137.0,231.000000000000000000
13.600000000000000000,27.500000000000000000,7.900000000000000000,31.300000000000000000,67.5,5.9,7.100000000000000000,4.200000000000000000,9,1.5,29.700000000000000000,35.1,29.600000000000000000,28.900000000000000000,3,15.500000000000000000,0.01,12.800000000000000000,0E-18,0E-18,0.52,10.8,25.300000000000000000,0E-18,36.600000000000000000,41767.000000000000000000,750,825.0,1462.000000000000000000
29.400000000000000000,93.000000000000000000,34.200000000000000000,41.200000000000000000,82.6,12.4,63.800000000000000000,35.600000000000000000,4,56.7,45.100000000000000000,91.9,49.900000000000000000,100.000000000000000000,2,50.200000000000000000,0.22,30.700000000000000000,27.600000000000000000,17.200000000000000000,0.57,96.2,39.500000000000000000,18.000000000000000000,87.600000000000000000,28046.000000000000000000,125,189.0,119.000000000000000000
18.700000000000000000,99.000000000000000000,100.000000000000000000,87.200000000000000000,97.2,62.8,23.500000000000000000,98.200000000000000000,4,61,57.100000000000000000,100.0,98.400000000000000000,99.500000000000000000,3,98.900000000000000000,0.25,55.500000000000000000,46.900000000000000000,76.500000000000000000,0.52,91.5,100.000000000000000000,65.300000000000000000,86.400000000000000000,42423.000000000000000000,5,10.0,8.000000000000000000
23.200000000000000000,30.100000000000000000,25.300000000000000000,24.800000000000000000,68.8,5.0,2.800000000000000000,3.500000000000000000,1,9.9,38.700000000000000000,1.7,72.800000000000000000,46.400000000000000000,3,20.600000000000000000,0.09,17.300000000000000000,0E-18,0E-18,0.58,5.3,28.100000000000000000,17.200000000000000000,40.700000000000000000,59626.000000000000000000,450,715.0,1390.000000000000000000
17.200000000000000000,68.300000000000000000,2.700000000000000000,28.900000000000000000,53.5,3.5,11.300000000000000000,16.700000000000000000,41,3.7,22.700000000000000000,4.3,1.900000000000000000,57.800000000000000000,1,20.500000000000000000,0.05,17.300000000000000000,0E-18,0E-18,0.55,4.2,7.100000000000000000,0E-18,41.500000000000000000,12130.000000000000000000,950,1100.0,705.000000000000000000
14.400000000000000000,79.100000000000000000,5.200000000000000000,28.900000000000000000,75.1,5.2,12.700000000000000000,22.600000000000000000,37,98.6,25.200000000000000000,13.2,14.000000000000000000,58.800000000000000000,2,30.700000000000000000,0.43,18.100000000000000000,6.500000000000000000,0E-18,0.54,99.8,15.500000000000000000,18.000000000000000000,97.600000000000000000,14915.000000000000000000,550,459.0,361.000000000000000000
37.500000000000000000,64.600000000000000000,32.000000000000000000,37.800000000000000000,78.5,7.5,17.900000000000000000,17.400000000000000000,32,26.9,27.600000000000000000,82.1,14.500000000000000000,84.200000000000000000,2,42.000000000000000000,0.16,26.900000000000000000,9.200000000000000000,0E-18,0.44,46.3,21.200000000000000000,0E-18,58.700000000000000000,18700.000000000000000000,450,481.0,370.000000000000000000
7.500000000000000000,25.600000000000000000,34.800000000000000000,46.100000000000000000,31.4,1.4,81.100000000000000000,2.800000000000000000,2,97.2,36.500000000000000000,7.2,97.700000000000000000,16.900000000000000000,2,6.100000000000000000,0.13,15.500000000000000000,0E-18,0E-18,0.33,52.7,16.800000000000000000,0E-18,30.800000000000000000,24687.000000000000000000,650,319.0,1454.000000000000000000
15.900000000000000000,74.000000000000000000,39.400000000000000000,45.600000000000000000,80.5,0.0,14.000000000000000000,89.500000000000000000,103,3.8,37.700000000000000000,18.2,26.400000000000000000,99.900000000000000000,3,49.100000000000000000,0.06,15.300000000000000000,6.500000000000000000,0E-18,0.35,3.9,19.000000000000000000,0E-18,34.000000000000000000,53183.000000000000000000,550,291.0,239.000000000000000000
